PTDESCRPTR,AMC90A,SARIS_ID,AMC90C,PTFACILTRU,MRWC87,PTOWNTRUE,ACPERMISSI,PAB_SITES_,OBJECTID,RIVRECPT_I,PTMNGTRUE,PTDIRECTTR,TNRCG94,AMC90B,geometry
N,24T1B222,50300.0,,N,,N,N,0.0,1.0,97.0,N,N,,,"{'type': 'Point', 'coordinates': [-70.992451379137592, 42.865180465067631]}"
N,24T1E222,50300.0,,N,,N,N,0.0,2.0,98.0,N,Y,,,"{'type': 'Point', 'coordinates': [-70.984054075322021, 42.862009141884691]}"
N,25T1B223,50300.0,,N,,N,N,0.0,3.0,91.0,N,Y,,,"{'type': 'Point', 'coordinates': [-70.938508091602287, 42.859678177483168]}"
N,25P1B223,50300.0,,N,,N,N,0.0,4.0,92.0,N,Y,,,"{'type': 'Point', 'coordinates': [-70.933358794477684, 42.857383632912523]}"
N,25P1E223,50300.0,,N,,N,N,0.0,5.0,94.0,N,Y,,,"{'type': 'Point', 'coordinates': [-70.929672885506804, 42.856857506582507]}"
Y,25T2E223,50300.0,,N,,N,N,0.0,6.0,96.0,N,Y,,,"{'type': 'Point', 'coordinates': [-70.924003972098973, 42.841253252400918]}"
Y,25T1E223,50300.0,,N,Y,N,N,0.0,7.0,95.0,N,Y,,,"{'type': 'Point', 'coordinates': [-70.925577485096397, 42.840229196276404]}"
Y,03T2E198,50125.0,,Y,Y,Y,N,76.0,8.0,8.0,Y,Y,,,"{'type': 'Point', 'coordinates': [-70.827392573777871, 42.821742925984118]}"
Y,,50125.0,,Y,Y,Y,N,175.0,9.0,139.0,N,Y,,,"{'type': 'Point', 'coordinates': [-70.878793487881765, 42.817932461109294]}"
N,23T1B221,50575.0,,N,,N,N,0.0,10.0,88.0,N,N,,,"{'type': 'Point', 'coordinates': [-71.112670160137782, 42.816798329591002]}"
Y,03T1E198,50125.0,,N,Y,Y,N,0.0,11.0,7.0,N,Y,,,"{'type': 'Point', 'coordinates': [-70.866304933037384, 42.815504100228701]}"
