RIVTRIP_ID,TRIPNO,TYPE,SHAPE_FID,geometry
3371.0,24,TS,1,"{'type': 'LineString', 'coordinates': [[-70.992451966010321, 42.86510791494544], [-70.991171402423745, 42.864154256417024], [-70.989885417003237, 42.863857224762228], [-70.988795539886297, 42.863852424747662], [-70.987904956128276, 42.863702759236411], [-70.987013062813801, 42.86369881669534], [-70.986024565886851, 42.863403057833786], [-70.985333296788141, 42.863107980073927], [-70.984447398320967, 42.862375455850191], [-70.984054075322021, 42.862009141884691]]}"
3357.0,25,TS,2,"{'type': 'LineString', 'coordinates': [[-70.93834057587749, 42.859829313588058], [-70.938293099001726, 42.859610794084418], [-70.938327327594848, 42.85947764577822], [-70.938410975314412, 42.859332314592869], [-70.938495832366527, 42.85906546718364], [-70.938580589582472, 42.858823373692744], [-70.938516051565088, 42.858665532598494], [-70.9383851332787, 42.858555798709503], [-70.938057012705499, 42.858360133591518], [-70.937563766418208, 42.858199583103783], [-70.937202176602952, 42.858052722044015], [-70.936873099865906, 42.857977940836562], [-70.936708834259704, 42.857917011927483], [-70.93642938909754, 42.857806464033189], [-70.936265347555235, 42.857720691058709], [-70.936167007202343, 42.857635327405475], [-70.935986465704758, 42.857561265927245], [-70.935871620362505, 42.85748815396397], [-70.935773292378855, 42.857415122269735], [-70.935460286636555, 42.85737696187482], [-70.93522910106303, 42.857424264726873], [-70.934981627367904, 42.857459605576359], [-70.934749856785274, 42.857531029015362], [-70.934453048423009, 42.857542003804326], [-70.934222165403355, 42.857528455048666], [-70.933925032163884, 42.857575433457605], [-70.933644629282526, 42.85759881852492], [-70.933397351444782, 42.857585188036637]]}"
3358.0,25,P1,3,"{'type': 'LineString', 'coordinates': [[-70.933397351444782, 42.857585188036637], [-70.932984826204347, 42.857619807893592], [-70.932770582702119, 42.857606337625654], [-70.932605762646745, 42.857593738965058], [-70.932473406590034, 42.857617305550512], [-70.932076670756132, 42.857772891494207], [-70.931993754059491, 42.857809031950289], [-70.931861535258747, 42.857844390659139], [-70.931779275294247, 42.857807980964026], [-70.931565800311915, 42.857709626772213], [-70.93141762055167, 42.857697017992301], [-70.931219673991805, 42.857707929211166], [-70.931120020206691, 42.857768201345749], [-70.930922181122554, 42.857767230419554], [-70.930675668419795, 42.857669252507513], [-70.930413425956274, 42.857498013438779], [-70.92992054750475, 42.857313307657869], [-70.929822349069582, 42.857240271513568], [-70.92954468324497, 42.856935640228173]]}"
3370.0,25,TS,4,"{'type': 'LineString', 'coordinates': [[-70.924655823426846, 42.840760226162395], [-70.924304595386715, 42.840818163442641], [-70.924006341909703, 42.84099500536427], [-70.923843363520888, 42.841133181599687]]}"
3359.0,25,TS,5,"{'type': 'LineString', 'coordinates': [[-70.92954468324497, 42.856935640228173], [-70.929316115230947, 42.856667886618972], [-70.929103553530993, 42.85649688902533], [-70.928612199914824, 42.856105687270563], [-70.927956409497227, 42.85571484230347], [-70.927611712161749, 42.855530857549915], [-70.927545768168983, 42.855530531949555], [-70.92718600332752, 42.855201364880166], [-70.926496197561349, 42.854906481016101], [-70.925805158307384, 42.854733739327443], [-70.925181307002916, 42.854439174178651], [-70.924359283769391, 42.854168466349854], [-70.924229950457999, 42.853876350399396], [-70.924497179120209, 42.853513740226781], [-70.925158498547319, 42.853322855518741], [-70.926086238677371, 42.852842532669364], [-70.926455727923425, 42.852092182435207], [-70.926363974897782, 42.851315334907703], [-70.926009557366285, 42.850391449777312], [-70.925457133828587, 42.849515551078497], [-70.924602814973511, 42.849171500482548], [-70.924211079044156, 42.848732434014607], [-70.924015738702622, 42.848488958408637], [-70.923754662705122, 42.848196816673628], [-70.922964845670236, 42.847998721503444], [-70.922502847703782, 42.848044849819985], [-70.921909300492715, 42.848041891294727], [-70.921645556119287, 42.848040575690348], [-70.921581849797235, 42.848023964780936], [-70.921514949367364, 42.847968990738515], [-70.921441582627551, 42.847898861558718], [-70.921321308576893, 42.847754864421105], [-70.921261335688897, 42.847665088300189], [-70.921215824546152, 42.847506161419595], [-70.921184548426368, 42.847223082369105], [-70.921187018056514, 42.846955294617615], [-70.921175774800972, 42.846702021094622], [-70.921117604443523, 42.846443472257697], [-70.921045334292344, 42.846254706028766], [-70.920952468039687, 42.846070787782104], [-70.920833988439938, 42.845772600068493], [-70.920687593331067, 42.845543405655029], [-70.920648906124953, 42.845374430623501], [-70.920758168675263, 42.84518657131246], [-70.921192200256002, 42.844920939158932], [-70.922060468378149, 42.844379499062732], [-70.922263854413146, 42.844251698761987], [-70.922792124858475, 42.844006243974015], [-70.923225445878117, 42.843789479829582], [-70.924148560704282, 42.843119572707813], [-70.924746306539959, 42.842645991107524], [-70.925072871422046, 42.842330301602935], [-70.925238882960699, 42.841874288800206], [-70.925189542377353, 42.841358156753394], [-70.924949714064567, 42.841059280894413], [-70.924762491033789, 42.840880028154594], [-70.924682244372832, 42.840800324868511], [-70.924656911689439, 42.840641499110347], [-70.924820252409901, 42.840463445974962], [-70.925226626842345, 42.840247170612656], [-70.92549742359958, 42.840129240621017]]}"
4.0,03,TS,6,"{'type': 'LineString', 'coordinates': [[-70.866535632878382, 42.814258608247094], [-70.864643753702822, 42.813688964412279], [-70.857232216874792, 42.814588233641906], [-70.846983563825162, 42.818289189236054], [-70.841609507217271, 42.819574124061248], [-70.836243291749739, 42.820107831935978], [-70.831899751467887, 42.820458694562006], [-70.828579301528649, 42.820627459241969], [-70.826541323044324, 42.8202398046095]]}"
307.0,15,TS,7,"{'type': 'LineString', 'coordinates': [[-71.104398790831837, 42.798212290364752], [-71.104586830794517, 42.798244978632937], [-71.105074894456308, 42.798327659388086], [-71.104586830794517, 42.798244978632937], [-71.104398790831837, 42.798212290364752]]}"
3356.0,23,TS,8,"{'type': 'LineString', 'coordinates': [[-71.090630375636223, 42.783292991020886], [-71.090844469045265, 42.783501869024832], [-71.091283240275544, 42.784265779788491], [-71.091996626096474, 42.785030656529045], [-71.092582790177985, 42.785873216525054], [-71.092708311856498, 42.78606044497662], [-71.092706798077458, 42.786293945773131], [-71.092495211232006, 42.786355673739294], [-71.091902745848202, 42.786501486574707], [-71.091627082439601, 42.786624919355624], [-71.09126689046893, 42.786778929257878], [-71.091054491386586, 42.786964966258452], [-71.091052565375449, 42.787260847828506], [-71.091114371912127, 42.787510325220467], [-71.091324342578801, 42.787697853208762], [-71.091365740949229, 42.787853279889312], [-71.09172401947589, 42.787994611148427], [-71.092188093952714, 42.788105437816796], [-71.092672630114308, 42.78834055903107], [-71.092734829037951, 42.788511811431768], [-71.092669704308236, 42.788791807489041], [-71.092710257110369, 42.789040578984732], [-71.092708944023826, 42.789243114158367], [-71.09281307006907, 42.789507952251839], [-71.092896893472798, 42.789586472302815], [-71.093065720973456, 42.789617941718426], [-71.093339457959345, 42.789774813855892], [-71.093570712973815, 42.789961782184093], [-71.093612012413445, 42.790133590777003], [-71.093715757324247, 42.7903825835145], [-71.093909640792006, 42.790527831855158], [-71.094143310180272, 42.790682311076473], [-71.094220908464393, 42.790797895570797], [-71.094219669403742, 42.790989718780992], [-71.094035457367895, 42.791238872076825], [-71.093771903757528, 42.791679574298406], [-71.093378928599037, 42.791966251532173], [-71.093299587767206, 42.792138716693252], [-71.093507106449323, 42.792293015241015], [-71.093949041219901, 42.792525280574779], [-71.094468220478674, 42.792834239600346], [-71.095143843136967, 42.79324006200126], [-71.095689435537295, 42.793530024044799], [-71.096417147057892, 42.793916216837694], [-71.097430256968067, 42.794495854737114], [-71.097832803224406, 42.794737509901729], [-71.097936941204182, 42.794795212595794], [-71.098209134396754, 42.795026871971992], [-71.098507796410018, 42.795229276748017], [-71.098729458505801, 42.795182245661437], [-71.098925269061766, 42.795144666482877], [-71.099055198881317, 42.795221631188333], [-71.099132628562202, 42.795365927138207], [-71.099169842529818, 42.795644569921919], [-71.099247333962893, 42.795760150420946], [-71.099378119658041, 42.795722345467809], [-71.099495890335717, 42.795636155995602], [-71.09969182403519, 42.795579402234139], [-71.100057107010997, 42.795551948615021], [-71.100604147845644, 42.795620809301191], [-71.101215911422713, 42.795795660745711], [-71.101631619125357, 42.796008632274301], [-71.102164007087666, 42.79636549087887], [-71.102527196885788, 42.796669376326427], [-71.102812620200993, 42.796900439922368], [-71.102877101330066, 42.797006431453717], [-71.102863173202209, 42.797160043365459], [-71.102914760690354, 42.797236735007594], [-71.103005579040712, 42.797275843818383], [-71.103891109910847, 42.797480244504627], [-71.103955773937813, 42.797557610510552], [-71.103903459858472, 42.797576515298452], [-71.103890201672215, 42.797624269174626], [-71.104110056067228, 42.797903534537809], [-71.104514222620736, 42.797895373437427], [-71.104540016136411, 42.797914545184199], [-71.104565447782903, 42.798030034246523], [-71.104395182280371, 42.798144765036632], [-71.104394760482919, 42.798211736495034], [-71.104398790831837, 42.798212290364752], [-71.104586830794517, 42.798244978632937], [-71.105074894456308, 42.798327659388086], [-71.105085273686299, 42.798329405106436], [-71.105201956261908, 42.798415859448973], [-71.105188394486575, 42.798512041741937], [-71.105122698602202, 42.798598414451824], [-71.105122337562136, 42.798655844270755], [-71.105173865665165, 42.79874261658896], [-71.105511502494736, 42.79897394128637], [-71.105498181915877, 42.799031777045229], [-71.105458763642844, 42.799060358301602], [-71.105236726190782, 42.799107400951861], [-71.105132033948493, 42.799174557068405], [-71.105113633357263, 42.799243177537754], [-71.105245797041022, 42.799317352210444], [-71.106061305023999, 42.799563175368775], [-71.106286174961681, 42.799649456366268], [-71.106639326445148, 42.800235138364243], [-71.106395601825639, 42.800250693550971], [-71.106372122592461, 42.800291121529995], [-71.106387741024676, 42.800354186686789], [-71.106729617074166, 42.800730539844508], [-71.10676820519032, 42.800815107026935], [-71.106745268311258, 42.800905586499397], [-71.106651919439287, 42.800957029445883], [-71.106264167468751, 42.800937168482307], [-71.106225250633159, 42.800983125014447], [-71.106264298852864, 42.801189217187932], [-71.106186796642717, 42.801325689886191], [-71.106178931976729, 42.801429723059769], [-71.106240787254521, 42.801468730771084], [-71.106582826652755, 42.801566121406061], [-71.106691541538311, 42.801559739308807], [-71.106761032188274, 42.801531259752167], [-71.106885679480683, 42.801537894040258], [-71.107048612849226, 42.801697057225965], [-71.107056521465964, 42.801742092660227], [-71.106955705269925, 42.801775507065706], [-71.10656716778621, 42.801782649637659], [-71.106396484017608, 42.801826538273531], [-71.106226001288633, 42.80195531356874], [-71.106094164351077, 42.802178828115423], [-71.106218736755878, 42.80268505827253], [-71.106358394626682, 42.802754666155458], [-71.106428196510748, 42.802735279598622], [-71.106653071551165, 42.802568881536331], [-71.106738868353048, 42.802572053402507], [-71.10684723782056, 42.802660188024454], [-71.107026559357763, 42.802935889011422], [-71.107173915373622, 42.80310400079621], [-71.107360442762527, 42.80342032338654], [-71.107430481139659, 42.803617428277938], [-71.107453593087669, 42.803851011072261], [-71.107446185750192, 42.80399951424625], [-71.10748529057733, 42.804080122077792], [-71.107500606704605, 42.804250576401287], [-71.107687300563413, 42.804638912573175], [-71.108044695252048, 42.805001811156814], [-71.108200068777677, 42.805120529229185], [-71.108320949536733, 42.805183409883263], [-71.108439350117791, 42.805271576827465], [-71.108655931428359, 42.805338111208123], [-71.108754478503968, 42.805316479923675], [-71.108823898902813, 42.805280167433246], [-71.109031419402868, 42.805172307416235], [-71.109100504224855, 42.805150576395143], [-71.109327345748653, 42.805100662033198], [-71.109425653967619, 42.805137000377911], [-71.109534252496914, 42.805130615208633], [-71.10969151569347, 42.805181824820714], [-71.109936990441355, 42.805320467820152], [-71.11009445367425, 42.805378968935869], [-71.110212095784078, 42.805451918613819], [-71.110211599692974, 42.805531852105396], [-71.110250772231467, 42.805582573504523], [-71.110554364698544, 42.805851935431903], [-71.110554137521817, 42.80588857161122], [-71.110799606982198, 42.806048546755427], [-71.110789645672241, 42.806077768828771], [-71.110848378510511, 42.806128645748906], [-71.110936334142835, 42.806238041852893], [-71.111093183380703, 42.806376474651493], [-71.111329066853983, 42.80648582687828], [-71.111318760636436, 42.806551054648288], [-71.111632518925063, 42.806799113699228], [-71.112064307251302, 42.807098156753923], [-71.112082200109953, 42.807387981419211], [-71.112249505789748, 42.807417797073342], [-71.112475054394849, 42.807578331982732], [-71.112455049519767, 42.807650278654364], [-71.112385570295359, 42.80771584861683], [-71.112277108723262, 42.807758783823672], [-71.112130687899523, 42.807771796215718], [-71.111975342916352, 42.80792322465873], [-71.111727340361753, 42.80836905794942], [-71.111727744119335, 42.808580599179926], [-71.11179754082363, 42.808701275790128], [-71.111968422115524, 42.808805907899185], [-71.11195300826769, 42.808945922650409], [-71.111883331398616, 42.80902337386302], [-71.111860176358789, 42.809149860114346], [-71.111891142877738, 42.809302452565767], [-71.112031365973024, 42.809462072203317], [-71.111992500244398, 42.809638105173683], [-71.111899242323759, 42.809752564370442], [-71.111682392208252, 42.809864898955034], [-71.111557605624398, 42.809858269438621], [-71.111387086125902, 42.809793605500538], [-71.110959435879749, 42.809495114262013], [-71.110866757707811, 42.80945654579007], [-71.110718977826593, 42.809490885854032], [-71.110626035397019, 42.80957383917076], [-71.110548168895491, 42.809709773052241], [-71.110509869919355, 42.8100302845966], [-71.110455570509771, 42.810170798474182], [-71.110005457514447, 42.810674458995138], [-71.109850826080532, 42.811023924050644], [-71.109827921137281, 42.811168414041084], [-71.109866656285845, 42.81123101621241], [-71.109928513071452, 42.811252018404204], [-71.110192225253641, 42.811233732436158], [-71.110316857405849, 42.811285371334456], [-71.110449070399497, 42.811396086662221], [-71.110650553222783, 42.811495782545762], [-71.110736283392342, 42.811570874657924], [-71.110744145120307, 42.811781900615983], [-71.11079833495107, 42.811817009223198], [-71.111008268501223, 42.811835717677184], [-71.111140432035455, 42.811954803587739], [-71.111303269564303, 42.812096046389016], [-71.111365904649432, 42.81218906389455], [-71.111358019348799, 42.812297597761436], [-71.111303582147883, 42.812361597142356], [-71.111303925712761, 42.812424610085607], [-71.111334921862081, 42.812473683238558], [-71.111645725445811, 42.812670512133842], [-71.111995252603009, 42.813051374237816], [-71.112096250405713, 42.813188988090126], [-71.112081161680123, 42.813256450178436], [-71.11202661888872, 42.813297945321068], [-71.111816938180041, 42.813257275484602], [-71.111692861538401, 42.813273152726758], [-71.111646157661042, 42.813332137225792], [-71.111654297659655, 42.813498695607585], [-71.111716325929891, 42.813551743375278], [-71.11196459096486, 42.813601004204003], [-71.112073531465697, 42.813680133730315], [-71.112073781348514, 42.813738645485124], [-71.111918249929019, 42.81385847705652], [-71.111856482289667, 42.814139032499561], [-71.111794714473902, 42.814162409943634], [-71.111507373933463, 42.814559230919556], [-71.111414508596681, 42.814628682481455], [-71.111134977041146, 42.814750977545565], [-71.111026377166255, 42.814833878495769], [-71.110972081726459, 42.814933794835028], [-71.110995587260874, 42.815086902251835], [-71.111073419760345, 42.815135052471689], [-71.111197311992612, 42.815110083579626], [-71.111298303666373, 42.81503165778922], [-71.111383799679032, 42.815007189989075], [-71.111508098000286, 42.81505486564987], [-71.111686375381623, 42.815231626095461], [-71.111694559507484, 42.815470197900531], [-71.111749086678543, 42.815550225487186], [-71.111981828170642, 42.815599974295374], [-71.112137197048142, 42.815705093977584], [-71.112215075560727, 42.815825256951022], [-71.112230779699303, 42.816054222040371], [-71.112262078485713, 42.816094294213343], [-71.112502503048859, 42.816108060983339], [-71.112588158427414, 42.816196653828037], [-71.11264273332722, 42.816645839631747]]}"
3356.0,23,TS,9,"{'type': 'LineString', 'coordinates': [[-71.090056523744593, 42.781226670012366], [-71.090244008420527, 42.781616661217974], [-71.090558792109391, 42.781975595973954], [-71.090618525330186, 42.782504662423975], [-71.090511213700182, 42.782769295695104], [-71.090508577123117, 42.783173826781713], [-71.090630375636223, 42.783292991020886]]}"
3319.0,20,TS,10,"{'type': 'LineString', 'coordinates': [[-71.211445808044189, 42.749860400579948], [-71.211275944657487, 42.749825679932087], [-71.211245197944436, 42.749791846320441], [-71.211260867837197, 42.749757498382564], [-71.211291734485002, 42.74971202606951], [-71.211353747064024, 42.749666631431033], [-71.211524220756701, 42.749621507156476], [-71.211617013000179, 42.749576099074176], [-71.211648280901954, 42.749496330646977], [-71.211648802407112, 42.749382638682611], [-71.211695582000189, 42.749302908884125], [-71.211757854743354, 42.749200623027683], [-71.21175822085371, 42.7491207775942], [-71.211712225828109, 42.749029474361357], [-71.211573160171426, 42.749017875565571], [-71.211464786458095, 42.749051992470257], [-71.211356413040448, 42.749086019255664], [-71.211294455193453, 42.749119621625319], [-71.211232826171951, 42.749108215566864], [-71.211124889879088, 42.749073649181248], [-71.211078999238424, 42.748959841344487], [-71.211033214693416, 42.748822989028852], [-71.211095384200902, 42.748743297882008], [-71.211250238795586, 42.748641243354406], [-71.211420918876442, 42.748550570403715], [-71.211544977113931, 42.748425393959053], [-71.211545811062507, 42.748243648779344], [-71.211376614516311, 42.748117831230083], [-71.210929083869758, 42.747934426872952], [-71.210712814081347, 42.747899499421145], [-71.210527147169401, 42.747955926842955], [-71.210372204750968, 42.748024133262298], [-71.210279310598665, 42.748091954710155], [-71.210155600260805, 42.748114779694802], [-71.21010929447975, 42.74809152896897], [-71.210093922758972, 42.748034688811074], [-71.210110028383724, 42.747932378154282], [-71.210110710811463, 42.747784389493034], [-71.210003024017681, 42.747669886254243], [-71.20989512451176, 42.747601561858325], [-71.209864802974991, 42.747476000079352], [-71.20994242957839, 42.747408140686616], [-71.210112760565963, 42.747339883359636], [-71.210252135902365, 42.747283430723954], [-71.210360716668433, 42.747203856119782], [-71.210392018773149, 42.747090241097411], [-71.21037698192626, 42.746987222305819], [-71.210439550205749, 42.746873775523319], [-71.210517037703866, 42.746782780630795], [-71.210579553724358, 42.74668058594866], [-71.210564184824506, 42.746623115703471], [-71.210471971611341, 42.746543578734062], [-71.210255706446759, 42.746508740428915], [-71.209915228326523, 42.746553436856537], [-71.209745390457911, 42.746541758702477], [-71.209545110135963, 42.746404518083899], [-71.209561374685705, 42.746267910786479], [-71.209809120079967, 42.746097497079568], [-71.210041753721356, 42.745972594351315], [-71.210212324142731, 42.745825031125257], [-71.210368324445085, 42.745552575461062], [-71.210384799083826, 42.745290392662206], [-71.21046326195038, 42.745040247394051], [-71.210448251182186, 42.744931647453036], [-71.210263607301471, 42.744794447115737], [-71.209878390083517, 42.744531888050169], [-71.209693610771907, 42.74437164168215], [-71.2094476638309, 42.744075043321629], [-71.208848079962962, 42.743424322194926], [-71.208001750495896, 42.742601850004768], [-71.207217322911617, 42.741813915105666], [-71.206847928633096, 42.74151708852353], [-71.20600900137228, 42.740794180536184], [-71.204840326703817, 42.739583874332666], [-71.203886758699639, 42.738579439223983], [-71.202441293023782, 42.737117426523874], [-71.201561599737872, 42.736155830115038], [-71.200622667877255, 42.735202625173905], [-71.200182554693285, 42.734769934975489], [-71.200065356491294, 42.734661068424401], [-71.200016014130526, 42.734637265533536], [-71.199980654142777, 42.734549405408799], [-71.199969061447419, 42.734496534243625], [-71.200005265609974, 42.734381853992552], [-71.200041754228792, 42.734258712684415], [-71.200089839116046, 42.734162066983679]]}"
