TOWN,OBJECTID,TOWN_ID,PVP_NUMBER,geometry
ABINGTON,1.0,1.0,1.0,"{'type': 'Point', 'coordinates': [-70.977367170818738, 42.134266348315798]}"
ABINGTON,2.0,1.0,2.0,"{'type': 'Point', 'coordinates': [-70.9850255945165, 42.131899921680436]}"
ABINGTON,3.0,1.0,3.0,"{'type': 'Point', 'coordinates': [-70.985594519504446, 42.129786153056948]}"
ABINGTON,4.0,1.0,4.0,"{'type': 'Point', 'coordinates': [-70.983270769363003, 42.128511898860289]}"
ABINGTON,5.0,1.0,5.0,"{'type': 'Point', 'coordinates': [-70.98336377458412, 42.127501693252114]}"
ABINGTON,6.0,1.0,6.0,"{'type': 'Point', 'coordinates': [-70.992201038558704, 42.126182775265129]}"
ABINGTON,7.0,1.0,7.0,"{'type': 'Point', 'coordinates': [-70.989389474769055, 42.12225328633658]}"
ABINGTON,8.0,1.0,8.0,"{'type': 'Point', 'coordinates': [-70.981767792747746, 42.115079405398141]}"
ABINGTON,9.0,1.0,9.0,"{'type': 'Point', 'coordinates': [-70.990660762309332, 42.117172593945199]}"
ABINGTON,10.0,1.0,10.0,"{'type': 'Point', 'coordinates': [-70.992205315417792, 42.115031611042767]}"
ABINGTON,11.0,1.0,11.0,"{'type': 'Point', 'coordinates': [-70.9895891838311, 42.113250825530699]}"
ABINGTON,12.0,1.0,12.0,"{'type': 'Point', 'coordinates': [-70.956545414790227, 42.145109725016468]}"
ABINGTON,13.0,1.0,13.0,"{'type': 'Point', 'coordinates': [-70.95544374300249, 42.145450494165928]}"
ABINGTON,14.0,1.0,14.0,"{'type': 'Point', 'coordinates': [-70.963247342713927, 42.142153821480747]}"
ABINGTON,15.0,1.0,15.0,"{'type': 'Point', 'coordinates': [-70.955676391383065, 42.138029516164572]}"
ABINGTON,16.0,1.0,16.0,"{'type': 'Point', 'coordinates': [-70.959604106123422, 42.138268146159817]}"
ABINGTON,17.0,1.0,17.0,"{'type': 'Point', 'coordinates': [-70.960917362476636, 42.137865759597958]}"
ABINGTON,18.0,1.0,18.0,"{'type': 'Point', 'coordinates': [-70.958405165234254, 42.135180461314711]}"
ABINGTON,19.0,1.0,19.0,"{'type': 'Point', 'coordinates': [-70.957896646971236, 42.135335615434016]}"
ABINGTON,20.0,1.0,20.0,"{'type': 'Point', 'coordinates': [-70.957895575315973, 42.135461117023056]}"
ABINGTON,21.0,1.0,21.0,"{'type': 'Point', 'coordinates': [-70.95841750118305, 42.133734401849594]}"
ABINGTON,22.0,1.0,22.0,"{'type': 'Point', 'coordinates': [-70.958276544488328, 42.11061813611483]}"
ABINGTON,23.0,1.0,23.0,"{'type': 'Point', 'coordinates': [-70.957083946335061, 42.111807688754382]}"
ABINGTON,24.0,1.0,24.0,"{'type': 'Point', 'coordinates': [-70.956310724083224, 42.113313798192209]}"
ABINGTON,25.0,1.0,25.0,"{'type': 'Point', 'coordinates': [-70.948303727025447, 42.111199696080476]}"
ABINGTON,26.0,1.0,26.0,"{'type': 'Point', 'coordinates': [-70.950006142849375, 42.109729616472521]}"
ABINGTON,27.0,1.0,27.0,"{'type': 'Point', 'coordinates': [-70.955706925271116, 42.109819869915619]}"
ABINGTON,28.0,1.0,28.0,"{'type': 'Point', 'coordinates': [-70.95573198503881, 42.106895599401199]}"
ABINGTON,29.0,1.0,29.0,"{'type': 'Point', 'coordinates': [-70.969622459029353, 42.10236903490361]}"
ABINGTON,30.0,1.0,30.0,"{'type': 'Point', 'coordinates': [-70.939342716047022, 42.1385275263385]}"
