OBJECTID,TRAILS_ID,CLASS,geometry
1.0,1.0,8.0,"{'type': 'LineString', 'coordinates': [[-73.265931355366334, 42.718233918526153], [-73.265917383425403, 42.718510368885092], [-73.265900540577334, 42.71884547787193], [-73.266147693754732, 42.719623955306297], [-73.26616351061142, 42.719652345902936], [-73.266303223912345, 42.719905200321627], [-73.266394904078936, 42.720725938089409], [-73.266706005861622, 42.721180921054057], [-73.266922018241289, 42.721706595092719], [-73.266922076487603, 42.722408350818093], [-73.266927710926211, 42.72241330687725]]}"
2.0,2.0,8.0,"{'type': 'LineString', 'coordinates': [[-73.265931355366334, 42.718233918526153], [-73.266273538695259, 42.718391842565744], [-73.268132085142938, 42.72051814842262], [-73.2681326627673, 42.72060817772082], [-73.268970465527559, 42.721341603380246], [-73.270365158437272, 42.722253870135127], [-73.272846183475593, 42.722921498719025], [-73.273309604108903, 42.722977421644956]]}"
3.0,3.0,8.0,"{'type': 'LineString', 'coordinates': [[-73.276683242630142, 42.704031606273254], [-73.277726359582786, 42.704336382491178], [-73.280363268010348, 42.704033529628589], [-73.2803827239849, 42.704039442751373]]}"
4.0,4.0,8.0,"{'type': 'LineString', 'coordinates': [[-73.254681708222734, 42.702678264209773], [-73.254872978009445, 42.703001210396557], [-73.254966555474255, 42.703038596714258], [-73.255103154868863, 42.703414684538153], [-73.255150755811414, 42.703545598096476], [-73.255267935937908, 42.703702557001783], [-73.255646641255737, 42.704210566559773], [-73.255833150033382, 42.704690610284999], [-73.256948401455745, 42.705968511833206], [-73.257227093867044, 42.706229890169467], [-73.25800152473974, 42.706956973752106], [-73.258528272739724, 42.707667020171463], [-73.259519048716513, 42.708375677191029], [-73.260294182142388, 42.708990727375934], [-73.261037919382346, 42.709308043716561], [-73.261844827355247, 42.709770705218283], [-73.26277388322994, 42.710505035760441], [-73.263145569240109, 42.710915796754669], [-73.263455858138073, 42.711893023339279], [-73.263856790395238, 42.712505922216216], [-73.263920052660524, 42.712602288707153], [-73.263920216378025, 42.712647305346998], [-73.263920652166632, 42.712854386721382], [-73.264163164811151, 42.713190582040916], [-73.264354353766919, 42.713455529249799], [-73.264508067881096, 42.71390787728258], [-73.265189564513179, 42.715484941777525], [-73.26552997370483, 42.716471876749161], [-73.265685054097901, 42.717428956166259], [-73.265809002930325, 42.717638113305739], [-73.2658389941368, 42.718097390251359], [-73.265931355366334, 42.718233918526153]]}"
5.0,5.0,8.0,"{'type': 'LineString', 'coordinates': [[-73.284738174479372, 42.692371294690481], [-73.284151221388171, 42.692789492929457], [-73.283344247197704, 42.693218375284196], [-73.282817202245283, 42.693291782348709], [-73.282073660371196, 42.693082109484507], [-73.280337828616695, 42.692209541297522], [-73.279811207648919, 42.692327947842877], [-73.279066861867804, 42.692758086856379], [-73.277918244439348, 42.693011028820756], [-73.273330277696061, 42.693239061467992], [-73.268896655181038, 42.693353081931271], [-73.267004616585453, 42.693009524048797], [-73.26626147943432, 42.692781736378279], [-73.264866195764867, 42.692688785142096], [-73.264152838160442, 42.692821765410621], [-73.263408443699632, 42.693188775383078], [-73.263252771159088, 42.693465768147043], [-73.263283171943328, 42.693853641923283], [-73.263531338764437, 42.694037227513576], [-73.263531909562602, 42.694127257620529], [-73.264089437654178, 42.694495744494901], [-73.264399929140069, 42.694581675582974], [-73.264429628170134, 42.694996481345612], [-73.264149962537715, 42.695226386255072], [-73.262600292181347, 42.695410470860679], [-73.261979809899259, 42.695661862678257], [-73.261545699818811, 42.696069690142018], [-73.261358648460231, 42.696373089087309], [-73.261078509376517, 42.6973323066848], [-73.261047620564156, 42.697898940233856], [-73.260613669777825, 42.69851384998011], [-73.259496849851075, 42.698884252176455], [-73.258596337209141, 42.699320593234745], [-73.25741809719301, 42.699429086574916], [-73.256674155616594, 42.700048151511879], [-73.256580958500663, 42.700325895504875]]}"
6.0,6.0,8.0,"{'type': 'LineString', 'coordinates': [[-73.295134127223989, 42.663307504389245], [-73.29342969325684, 42.663381871309369], [-73.292375997766214, 42.66353715211045], [-73.291415294517279, 42.664135060396333], [-73.29081528683254, 42.664366669833953], [-73.290764717535694, 42.664386001798341], [-73.289276882487002, 42.665184024973883], [-73.28862571732796, 42.665732635926069], [-73.287788735189508, 42.666719731983562], [-73.286609737674709, 42.667539322368036], [-73.286238185187642, 42.667903515491538], [-73.285928612907654, 42.668457004121898], [-73.285896484794449, 42.669960538767327], [-73.285616660649112, 42.67087489672226], [-73.285120085829178, 42.671869585881595], [-73.284996784347655, 42.672116849124166], [-73.284865611740912, 42.672495331869506], [-73.284531090778017, 42.673461133152109], [-73.284407750371273, 42.673621147528834], [-73.28446835581785, 42.674243737824085], [-73.285646280140668, 42.67524299541919], [-73.285801128193469, 42.675496676287352], [-73.285801914855114, 42.676018895178359], [-73.285672193946496, 42.676354046735547], [-73.285614796129551, 42.676502958946656], [-73.285555521298463, 42.677131902274638], [-73.285459655429989, 42.678148581657851], [-73.285369745731103, 42.678368857129108], [-73.285273314230849, 42.678604449954918], [-73.285056162088921, 42.68045640908371], [-73.284836397361772, 42.68373112263108], [-73.284866729648385, 42.684740177934074], [-73.284588586580767, 42.685699431586592], [-73.283284677537893, 42.687616055076241], [-73.283285059608872, 42.688210849641202], [-73.283966116004265, 42.689193026264512], [-73.28433893722169, 42.689514205513241], [-73.284648797078958, 42.69045546642468], [-73.284740554879946, 42.690501860815047], [-73.284772287886625, 42.690682530153225], [-73.285020028023723, 42.691163297147867], [-73.285141096345868, 42.691291984846316]]}"
7.0,7.0,8.0,"{'type': 'LineString', 'coordinates': [[-73.295134127223989, 42.663307504389245], [-73.294948011723463, 42.664088164338153], [-73.29383219992431, 42.665458887004071], [-73.293460709431471, 42.666101688106281], [-73.293459812710125, 42.666858040301243], [-73.293615259058072, 42.667085230426238], [-73.29383195012997, 42.667196668359288], [-73.294148042380698, 42.667148452003005]]}"
8.0,8.0,8.0,"{'type': 'LineString', 'coordinates': [[-73.295672183023541, 42.663060537452104], [-73.295134127223989, 42.663307504389245]]}"
9.0,9.0,8.0,"{'type': 'LineString', 'coordinates': [[-73.301461222738624, 42.632505068400874], [-73.300469830919496, 42.632688274306744], [-73.300010871815559, 42.632885595332787], [-73.299943663417324, 42.63291482568011], [-73.298238348403345, 42.633330817554523], [-73.297433522629206, 42.633715305807918], [-73.297030849470488, 42.634060937100074], [-73.296783060699838, 42.63481321491043], [-73.296689825356353, 42.635550212016582], [-73.296720662321277, 42.638225125816241], [-73.296813476057196, 42.638289502149618], [-73.296967326440424, 42.639137997499269], [-73.296936251676911, 42.639660179118252], [-73.296813249610423, 42.640144892866537], [-73.296718174905095, 42.640215073077705], [-73.29656443565375, 42.640879266159764], [-73.296905865709888, 42.642343245298903], [-73.296780229732789, 42.645223179583986], [-73.296874133445556, 42.645359571693518], [-73.296903631767975, 42.64870080070574], [-73.296811190294889, 42.650410763137948], [-73.296593085052706, 42.650803581445615], [-73.296655322087702, 42.651992772501984], [-73.29705843952172, 42.653205474600824], [-73.297584105779805, 42.6540059529747], [-73.297902084460276, 42.654273918738085], [-73.297986705274468, 42.654345264778918], [-73.298165460633228, 42.654607472724287], [-73.29839004351409, 42.654936587666548], [-73.298612602596407, 42.65517344195608]]}"
10.0,10.0,8.0,"{'type': 'LineString', 'coordinates': [[-73.301461222738624, 42.632505068400874], [-73.30148179590158, 42.632516632977712], [-73.301677456777057, 42.632625502456619], [-73.301719620365105, 42.632748111413797], [-73.301739699221159, 42.632806325103026], [-73.301739067170189, 42.633670732301141], [-73.301367593684148, 42.635502654978993], [-73.301646291723642, 42.636190545762659], [-73.301843682095992, 42.636385017324756], [-73.301925490936455, 42.636465318527257], [-73.302048563365972, 42.636764496604059], [-73.302079529307932, 42.637305341736187], [-73.302172117166194, 42.637378721499346], [-73.302619082097252, 42.637272701542479], [-73.302853470258711, 42.63721726965499], [-73.303163878453574, 42.63724006700442], [-73.303659302135557, 42.63747202192588], [-73.303713458015082, 42.637531954150404], [-73.303783717000826, 42.637609102897315], [-73.303961119727504, 42.637663148481948], [-73.304155750851621, 42.637722597305903], [-73.304943514256721, 42.638184718029443]]}"
11.0,11.0,8.0,"{'type': 'LineString', 'coordinates': [[-73.236968584490882, 42.728566440094752], [-73.237496856840195, 42.728569221099676], [-73.239420149322058, 42.729895377842418], [-73.240166038783386, 42.730735552059649], [-73.240135511139442, 42.731221131733811], [-73.239422090037337, 42.732093336546455], [-73.23830696256681, 42.734057150289637], [-73.23747060995457, 42.735061832126426], [-73.237408158053768, 42.7352681444643]]}"
